"time","y1","y2"
0.748,0.395068,0.814777
0.749,0.395545,0.815835
0.75,0.396022,0.816891
0.751,0.396499,0.817946
0.752,0.396974,0.819
0.753,0.397449,0.820052
0.754,0.397922,0.821103
0.755,0.398396,0.822153
0.756,0.398868,0.823201
0.757,0.39934,0.824248
0.758,0.399811,0.825294
0.759,0.400281,0.826338
0.76,0.40075,0.827381
0.761,0.401219,0.828423
0.762,0.401687,0.829463
0.763,0.402154,0.830502
0.764,0.40262,0.83154
0.765,0.403086,0.832577
0.766,0.403551,0.833612
0.767,0.404015,0.834645
0.768,0.404478,0.835678
0.769,0.404941,0.836709
0.77,0.405403,0.837739
0.771,0.405864,0.838768
0.772,0.406324,0.839795
0.773,0.406784,0.840821
0.774,0.407243,0.841845
0.775,0.407701,0.842869
0.776,0.408159,0.843891
0.777,0.408616,0.844912
0.778,0.409072,0.845931
0.779,0.409527,0.846949
0.78,0.409982,0.847966
0.781,0.410435,0.848982
0.782,0.410888,0.849996
0.783,0.411341,0.851009
0.784,0.411793,0.852021
0.785,0.412243,0.853031
0.786,0.412694,0.85404
0.787,0.413143,0.855048
0.788,0.413592,0.856055
0.789,0.41404,0.85706
0.79,0.414487,0.858064
0.791,0.414934,0.859067
0.792,0.41538,0.860068
0.793,0.415825,0.861068
0.794,0.416269,0.862067
0.795,0.416713,0.863065
0.796,0.417156,0.864061
0.797,0.417598,0.865056
0.798,0.41804,0.86605
0.799,0.418481,0.867043
0.8,0.418921,0.868034
0.801,0.41936,0.869024
0.802,0.419799,0.870013
0.803,0.420237,0.871
0.804,0.420674,0.871986
0.805,0.421111,0.872971
0.806,0.421546,0.873955
0.807,0.421982,0.874938
0.808,0.422416,0.875919
0.809,0.42285,0.876899
0.81,0.423283,0.877877
0.811,0.423715,0.878855
0.812,0.424147,0.879831
0.813,0.424578,0.880806
0.814,0.425008,0.88178
0.815,0.425438,0.882752
0.816,0.425866,0.883724
0.817,0.426295,0.884694
0.818,0.426722,0.885662
0.819,0.427149,0.88663
0.82,0.427575,0.887596
0.821,0.428,0.888561
0.822,0.428425,0.889525
0.823,0.428849,0.890488
0.824,0.429272,0.891449
0.825,0.429695,0.892409
0.826,0.430117,0.893368
0.827,0.430538,0.894326
0.828,0.430958,0.895282
0.829,0.431378,0.896238
0.83,0.431797,0.897192
0.831,0.432216,0.898144
0.832,0.432634,0.899096
0.833,0.433051,0.900046
0.834,0.433467,0.900996
0.835,0.433883,0.901943
0.836,0.434298,0.90289
0.837,0.434712,0.903836
0.838,0.435126,0.90478
0.839,0.435539,0.905723
0.84,0.435951,0.906665
0.841,0.436363,0.907606
0.842,0.436774,0.908545
0.843,0.437184,0.909484
0.844,0.437594,0.910421
0.845,0.438003,0.911356
0.846,0.438411,0.912291
0.847,0.438819,0.913225
0.848,0.439226,0.914157
0.849,0.439632,0.915088
0.85,0.440038,0.916018
0.851,0.440443,0.916947
0.852,0.440847,0.917874
0.853,0.441251,0.918801
0.854,0.441654,0.919726
0.855,0.442056,0.92065
0.856,0.442458,0.921572
0.857,0.442859,0.922494
0.858,0.443259,0.923415
0.859,0.443659,0.924334
0.86,0.444058,0.925252
0.861,0.444456,0.926169
0.862,0.444854,0.927084
0.863,0.445251,0.927999
0.864,0.445647,0.928912
0.865,0.446043,0.929825
0.866,0.446438,0.930736
0.867,0.446832,0.931645
0.868,0.447226,0.932554
0.869,0.447619,0.933462
0.87,0.448012,0.934368
0.871,0.448403,0.935273
0.872,0.448795,0.936177
0.873,0.449185,0.93708
0.874,0.449575,0.937982
0.875,0.449964,0.938882
0.876,0.450353,0.939782
0.877,0.450741,0.94068
0.878,0.451128,0.941577
0.879,0.451515,0.942473
0.88,0.451901,0.943368
0.881,0.452286,0.944262
0.882,0.452671,0.945154
0.883,0.453055,0.946046
0.884,0.453438,0.946936
0.885,0.453821,0.947825
0.886,0.454203,0.948713
0.887,0.454585,0.9496
0.888,0.454966,0.950485
0.889,0.455346,0.95137
0.89,0.455726,0.952253
0.891,0.456105,0.953135
0.892,0.456483,0.954016
0.893,0.456861,0.954896
0.894,0.457238,0.955775
0.895,0.457615,0.956653
0.896,0.457991,0.95753
0.897,0.458366,0.958405
0.898,0.45874,0.959279
0.899,0.459114,0.960153
0.9,0.459488,0.961025
0.901,0.459861,0.961896
0.902,0.460233,0.962766
0.903,0.460604,0.963634
0.904,0.460975,0.964502
0.905,0.461345,0.965368
0.906,0.461715,0.966234
0.907,0.462084,0.967098
0.908,0.462453,0.967961
0.909,0.46282,0.968823
0.91,0.463188,0.969684
0.911,0.463554,0.970544
0.912,0.46392,0.971403
0.913,0.464286,0.972261
0.914,0.46465,0.973117
0.915,0.465014,0.973972
0.916,0.465378,0.974827
0.917,0.465741,0.97568
0.918,0.466103,0.976532
0.919,0.466465,0.977383
0.92,0.466826,0.978233
0.921,0.467187,0.979082
0.922,0.467546,0.97993
0.923,0.467906,0.980776
0.924,0.468264,0.981622
0.925,0.468623,0.982466
0.926,0.46898,0.98331
0.927,0.469337,0.984152
0.928,0.469693,0.984993
0.929,0.470049,0.985834
0.93,0.470404,0.986673
0.931,0.470759,0.987511
0.932,0.471112,0.988348
0.933,0.471466,0.989183
0.934,0.471818,0.990018
0.935,0.472171,0.990852
0.936,0.472522,0.991684
0.937,0.472873,0.992516
0.938,0.473223,0.993346
0.939,0.473573,0.994176
0.94,0.473922,0.995004
0.941,0.474271,0.995831
0.942,0.474619,0.996658
0.943,0.474966,0.997483
0.944,0.475313,0.998307
0.945,0.475659,0.99913
0.946,0.476005,0.999952
0.947,0.47635,1.00077
0.948,0.476695,1.00159
0.949,0.477038,1.00241
0.95,0.477382,1.00323
0.951,0.477725,1.00405
0.952,0.478067,1.00486
0.953,0.478408,1.00568
0.954,0.478749,1.00649
0.955,0.47909,1.0073
0.956,0.47943,1.00811
0.957,0.479769,1.00892
0.958,0.480108,1.00973
0.959,0.480446,1.01054
0.96,0.480783,1.01135
